iter	Passed	Remaining
1213	9686	70104
1214	9694	70096
1215	9702	70089
1216	9710	70078
1217	9717	70067
1218	9725	70058
1219	9733	70048
1220	9741	70038
1221	9749	70033
1222	9757	70022
1223	9765	70014
1224	9772	70006
1225	9780	69998
1226	9789	69994
1227	9797	69985
1228	9805	69977
1229	9813	69968
1230	9821	69960
1231	9829	69955
1232	9837	69949
1233	9845	69940
1234	9853	69929
1235	9860	69919
1236	9868	69912
1237	9876	69901
1238	9884	69891
1239	9892	69883
1240	9900	69875
1241	9907	69864
1242	9916	69861
1243	9924	69853
1244	9932	69844
1245	9939	69833
1246	9947	69823
1247	9955	69816
1248	9963	69808
1249	9971	69798
1250	9979	69790
1251	9987	69782
1252	9995	69778
1253	10003	69772
1254	10011	69764
1255	10020	69757
1256	10028	69749
1257	10036	69743
1258	10044	69736
1259	10052	69729
1260	10060	69723
1261	10068	69716
1262	10076	69706
1263	10084	69699
1264	10092	69692
1265	10101	69687
1266	10108	69676
1267	10116	69667
1268	10124	69657
1269	10132	69648
1270	10139	69639
1271	10148	69637
1272	10156	69628
1273	10164	69620
1274	10172	69610
1275	10180	69602
1276	10188	69599
1277	10196	69590
1278	10204	69580
1279	10212	69572
1280	10221	69568
1281	10229	69563
1282	10237	69557
1283	10245	69550
1284	10253	69540
1285	10261	69533
1286	10269	69524
1287	10277	69515
1288	10285	69509
1289	10293	69499
1290	10300	69488
1291	10308	69481
1292	10316	69471
1293	10324	69461
1294	10331	69449
1295	10339	69438
1296	10347	69429
1297	10354	69417
1298	10361	69405
1299	10369	69398
1300	10378	69395
1301	10386	69387
1302	10394	69376
1303	10402	69369
1304	10410	69362
1305	10419	69360
1306	10427	69352
1307	10435	69346
1308	10443	69339
1309	10451	69333
1310	10459	69326
1311	10468	69322
1312	10477	69317
1313	10485	69310
1314	10493	69303
1315	10501	69295
1316	10509	69287
1317	10516	69277
1318	10524	69268
1319	10532	69258
1320	10540	69248
1321	10547	69235
1322	10555	69229
1323	10563	69220
1324	10571	69211
1325	10579	69204
1326	10587	69197
1327	10595	69189
1328	10602	69178
1329	10610	69170
1330	10618	69162
1331	10627	69156
1332	10635	69148
1333	10642	69138
1334	10650	69130
1335	10658	69123
1336	10666	69115
1337	10675	69108
1338	10683	69102
1339	10691	69093
1340	10699	69084
1341	10706	69076
1342	10715	69069
1343	10723	69064
1344	10731	69058
1345	10739	69049
1346	10747	69040
1347	10755	69030
1348	10763	69022
1349	10770	69014
1350	10779	69007
1351	10787	68998
1352	10794	68989
1353	10802	68981
1354	10811	68975
1355	10818	68966
1356	10827	68960
1357	10834	68949
1358	10842	68941
1359	10850	68935
1360	10858	68924
1361	10866	68916
1362	10874	68908
1363	10882	68898
1364	10889	68890
1365	10898	68884
1366	10905	68874
1367	10914	68870
1368	10922	68859
1369	10930	68851
1370	10938	68843
1371	10946	68835
1372	10954	68828
1373	10962	68823
1374	10970	68815
1375	10978	68808
1376	10986	68799
1377	10994	68790
1378	11002	68781
1379	11010	68773
1380	11018	68765
1381	11025	68755
1382	11033	68748
1383	11041	68738
1384	11049	68729
1385	11057	68725
1386	11065	68715
1387	11073	68707
1388	11081	68698
1389	11089	68690
1390	11097	68680
1391	11105	68674
1392	11113	68668
1393	11121	68661
1394	11129	68652
1395	11137	68643
1396	11145	68637
1397	11153	68630
1398	11162	68624
1399	11170	68615
1400	11178	68610
1401	11186	68602
